Channel,Segment,Spend ($),ROAS,CPA,Efficiency_Score,Opportunity_Type
Paid Social,Same Day,2518609.71,8.556036274801663,59.333317015119114,0.8567756931301981,Underperforming (Reduce Spend)
Paid Social,Domestic,1467226.71,8.30457188299245,33.44129801293533,1.2615225877476532,Underperforming (Reduce Spend)
OTT/OLV,International,799850.45,9.471478866837527,17.461834710007178,2.1401538276556695,Scale-Up (Increase Spend)
Affiliate,International,425583.44,9.686589011854386,17.339869556927148,2.0239664948074982,Scale-Up (Increase Spend)
Affiliate,Domestic,601675.32,10.225975779056993,24.008179916338865,1.9893966993990309,Scale-Up (Increase Spend)
Paid Social,International,989879.42,8.950493266937807,24.31954423185756,1.6899722393177738,Scale-Up (Increase Spend)
Display,International,358772.26,8.225287575290691,24.959748149906016,1.603158225009936,Scale-Up (Increase Spend)
Affiliate,Same Day,943355.63,10.722683172589226,40.81333079832656,1.5651323314061663,Scale-Up (Increase Spend)
OTT/OLV,Domestic,1227596.3,8.948532585355425,27.58888164574093,1.494261860143784,Scale-Up (Increase Spend)
OTT/OLV,Drive & Overnight,1605804.05,10.086825099975027,34.46306710288346,1.3681938759302819,Scale-Up (Increase Spend)
Display,Same Day,745923.99,10.090531193635497,45.64916895432488,1.3300983551151881,Scale-Up (Increase Spend)
