Channel,Segment,Spend ($),ROAS,CPA,Efficiency_Score,Opportunity_Type
Paid Social,Local,70215661.35,6.148201473359996,254.4472776981345,0.25316361693782446,Underperforming (Reduce Spend)
Paid Social,Drive & Overnight,46136203.64,6.134387174114431,178.88442072610127,0.3505944779392769,Underperforming (Reduce Spend)
Paid Social,Domestic,34864544.86,6.044975404871809,133.38897830570514,0.4596747249190328,Underperforming (Reduce Spend)
CTV,Local,27287008.36,6.125446880156652,inf,0.0,Underperforming (Reduce Spend)
Paid Search,Local,27060270.73,16.944275129325963,28.963669485168456,0.9222081929475024,Scale-Up (Increase Spend)
Paid Search,Same Day,22591142.85,15.8345781397542,28.413099527732065,0.875569594898146,Scale-Up (Increase Spend)
Paid Search,Drive & Overnight,18131959.69,14.476676582947084,26.28264400612243,0.815718047675175,Scale-Up (Increase Spend)
OTT/OLV,International,19379779.1,6.228606828447093,72.2579148314167,0.7622594740111345,Scale-Up (Increase Spend)
Paid Search,Domestic,13342115.68,12.725775749284516,25.954709637808175,0.7510360241101244,Scale-Up (Increase Spend)
Affiliate,International,9762157.86,6.206859658077205,71.44470578403349,0.7315823503360812,Scale-Up (Increase Spend)
Display,International,7540048.15,6.19118630322596,85.25830198841896,0.650640713899361,Scale-Up (Increase Spend)
Paid Social,International,23554060.11,6.215967974188558,83.9928387162647,0.63700572706039,Scale-Up (Increase Spend)
Paid Search,International,8952285.58,9.821866009281678,25.88326631549906,0.6027046061574539,Scale-Up (Increase Spend)
