Platform,Spend ($),Revenue ($),Conversions,Impressions,Clicks,ROAS,CPA
Google,133951564.98,2727022176.98,5300257,4702302364,93225275,20.358270374722128,25.272654699574
Trade Desk,129837626.06,589209409.86,2088470,6241063170,123960000,4.538048235630225,62.168777171805196
Facebook,125756138.16,563434832.94,1560645,4677753408,94018432,4.480376395012543,80.57959251463338
Instagram,106266443.52,481667538.33,1561327,4701487326,94340869,4.532640054330483,68.06161907146934
YouTube,96439012.35,439494561.08,1561112,4678729292,92406707,4.557227934738384,61.775844622294876
Traditional Media,63657430.49,292728003.45,0,0,0,4.598489150390462,inf
Hulu,51618350.58,234619093.56,0,3123903555,0,4.545265219127426,inf
Roku,38790624.55,173117088.31,0,3138322090,0,4.462859010863748,inf
Radio,19283710.28,86725480.23,0,0,0,4.497344078019409,inf
Linear,9680060.83,44409604.08,0,0,0,4.587740186752525,inf
