Month_Name,Month_Period,Awareness_Conversions,Consideration_Conversions,Conversion_Conversions,Awareness_ROAS,Consideration_ROAS,Conversion_ROAS,Awareness_Revenue,Consideration_Revenue,Conversion_Revenue,Awareness_Spend,Consideration_Spend,Conversion_Spend
April,2024-04,165455,211490,206726,0.88,1.38,1.37,26993535.55,40618909.1,33732755.35,30502089.68,29333870.77,24590841.76
August,2024-08,125799,179262,189877,0.88,1.46,1.55,21353287.44,33493582.56,30794630.0,24164494.07,23019162.79,19914490.93
December,2024-12,144137,194226,202748,0.96,1.5,1.75,22672011.56,34168989.6,34595898.84,23595868.8,22769700.94,19738499.68
February,2024-02,141841,196201,197595,0.92,1.51,1.6,22390722.24,35603901.44,31603976.32,24398743.45,23557747.1,19807235.23
January,2024-01,181179,252581,259096,0.96,1.51,1.69,28435983.67,44681642.15,42026774.18,29756572.67,29535078.5,24879118.73
July,2024-07,152924,206503,212168,0.85,1.28,1.39,24914118.69,37842594.53,35072886.78,29218227.66,29496692.85,25284148.53
June,2024-06,117089,155071,162114,0.85,1.32,1.43,20268344.61,30092886.11,28221569.28,23787917.94,22812391.77,19755979.57
March,2024-03,132964,175822,180030,0.88,1.4,1.49,21154321.28,32728328.62,29528350.1,24004249.1,23427166.28,19803635.24
May,2024-05,154837,205884,213483,1.01,1.61,1.68,24415527.93,37278751.72,33134220.35,24106152.6,23105510.61,19706206.69
November,2024-11,132250,175258,193493,0.96,1.42,1.57,22438130.78,32134992.84,31565276.38,23404623.07,22677063.82,20054611.15
October,2024-10,121579,169354,176092,0.8,1.35,1.4,19556129.32,31397300.09,27808170.59,24470039.15,23207099.67,19851638.6
September,2024-09,157669,212122,219942,0.85,1.37,1.45,25445116.08,39909215.62,36112868.3,29978585.44,29038587.55,24956896.3
