Month_Name,Month_Period,Affiliate_Conversions,CTV_Conversions,Direct Mail_Conversions,Display_Conversions,OTT/OLV_Conversions,Paid Search_Conversions,Paid Social_Conversions,Radio_Conversions,TV_Conversions,Affiliate_ROAS,CTV_ROAS,Direct Mail_ROAS,Display_ROAS,OTT/OLV_ROAS,Paid Search_ROAS,Paid Social_ROAS,Radio_ROAS,TV_ROAS,Affiliate_Revenue ($),CTV_Revenue ($),Direct Mail_Revenue ($),Display_Revenue ($),OTT/OLV_Revenue ($),Paid Search_Revenue ($),Paid Social_Revenue ($),Radio_Revenue ($),TV_Revenue ($),Affiliate_Spend ($),CTV_Spend ($),Direct Mail_Spend ($),Display_Spend ($),OTT/OLV_Spend ($),Paid Search_Spend ($),Paid Social_Spend ($),Radio_Spend ($),TV_Spend ($)
April,2024-04,6852,0,0,5045,14213,7646,14292,0,0,2.17,2.16,2.11,2.79,2.66,3.96,2.4,2.3,2.61,901954.37,767116.52,523987.18,832546.24,1984257.88,1521381.88,2248174.97,192260.2,89120.76,416357.37,354962.53,248450.11,298037.22,745032.94,384444.91,937350.84,83530.64,34124.52
August,2024-08,6119,0,0,4177,10800,5922,11422,0,0,2.64,2.28,2.05,2.03,2.4,3.98,3.0,2.83,2.44,839736.83,668992.66,415082.8,591828.19,1389598.22,1233220.45,1898401.18,168083.14,83256.53,317721.65,293552.99,202088.94,292031.2,577961.28,309531.64,633508.46,59350.87,34147.57
December,2024-12,7136,0,0,4979,15118,7475,15082,0,0,2.98,2.73,3.27,3.05,3.07,5.19,2.93,2.93,2.99,909533.92,774576.42,596423.17,676025.96,1826371.82,1517550.69,2346773.14,174031.3,103713.58,304947.82,284176.7,182556.87,221858.36,595425.6,292366.78,801052.91,59497.47,34738.67
February,2024-02,5523,0,0,3973,12979,8978,12523,0,0,2.92,2.46,3.67,2.26,3.0,5.53,2.49,3.0,2.55,862323.15,842921.8,713204.56,567967.31,1876618.7,1592415.06,1892152.47,186784.57,94312.38,295084.93,343091.88,194527.9,251547.23,624508.23,288098.4,758970.69,62247.97,36984.15
January,2024-01,10250,0,0,5996,17904,10924,17421,0,0,3.28,3.1,3.68,2.9,2.62,6.04,2.57,2.66,3.53,1230839.07,1118545.81,820087.24,922080.89,2069801.02,2392220.59,2478594.74,221510.27,120620.37,375200.6,361399.73,222844.66,317799.83,789742.66,396308.64,966155.64,83272.97,34161.68
July,2024-07,7727,0,0,4631,12899,6055,12670,0,0,2.5,2.11,2.15,1.72,2.27,3.19,2.36,2.52,1.9,979994.21,757866.16,492398.63,566028.44,1757354.77,1145816.86,2122693.65,162010.62,77736.66,392295.8,358895.97,228681.23,328192.01,773473.17,359163.82,901113.11,64211.05,40906.3
June,2024-06,4519,0,0,3213,8363,6309,9093,0,0,2.8,1.75,2.62,2.46,1.85,3.88,2.27,2.18,2.23,679636.17,497858.1,400018.12,571704.58,1113167.65,1227838.52,1644772.85,145711.15,75692.86,243029.45,284220.21,152552.8,232819.85,602750.93,316236.5,725921.81,66819.87,33909.73
March,2024-03,5163,0,0,3149,9611,3889,8415,0,0,3.01,2.54,2.18,2.25,2.34,2.5,1.87,2.42,1.85,849439.13,678485.79,457377.65,455191.62,1400299.03,669358.99,1456206.45,164818.06,54823.28,282460.96,267610.31,209801.35,202625.63,599596.29,267907.97,780206.45,68167.44,29627.7
May,2024-05,8030,0,0,5833,16468,8476,13836,0,0,3.54,3.29,2.65,3.01,3.45,5.01,3.02,3.14,4.32,1165066.98,1015661.16,534393.11,835981.68,1984893.53,1498432.73,2206041.39,205871.27,151058.15,329075.03,309110.98,201879.89,277870.48,574852.82,298836.42,731535.13,65550.46,34971.5
November,2024-11,7855,0,0,3930,14577,7037,14145,0,0,3.14,3.1,3.37,3.01,2.99,3.88,3.17,2.74,2.42,926346.33,819917.96,706983.06,609517.22,1853694.68,1209814.4,2286126.32,169035.37,58064.66,294844.62,264132.09,209494.74,202306.6,619980.31,312048.14,720638.73,61773.05,24028.16
October,2024-10,5518,0,0,3561,10277,4814,9248,0,0,2.44,1.89,2.69,2.11,2.0,4.26,1.95,2.22,2.21,716729.0,521685.99,498449.65,542373.93,1297523.42,1048789.48,1528496.53,134436.4,66615.6,293707.77,275983.8,185572.7,257334.19,649144.57,245943.96,783483.94,60670.96,30147.76
September,2024-09,6510,0,0,3793,11472,6953,11964,0,0,2.29,2.35,2.34,1.94,1.74,3.83,2.02,1.68,2.58,843661.88,781399.04,568550.04,596077.39,1399322.86,1547231.49,1898631.9,125848.9,114676.5,368447.77,332540.49,243240.68,307892.76,804351.1,403888.0,939059.92,74856.79,44458.17
