Month_Period,Month_Name,CTR_count,CTR_mean,CTR_std,Conversion_Rate_count,Conversion_Rate_mean,Conversion_Rate_std,ROAS_count,ROAS_mean,ROAS_std,CPA_count,CPA_mean,CPA_std
2024-01,January,725,1.73,2.11,725,1.04,1.16,725,3.77,3.21,725,inf,
2024-02,February,580,1.77,2.19,580,0.94,1.13,580,3.54,3.17,580,inf,
2024-03,March,580,1.7,2.08,580,0.68,0.93,580,3.03,3.14,580,inf,
2024-04,April,725,1.86,2.25,725,0.84,1.02,725,3.24,3.05,725,inf,
2024-05,May,580,1.64,2.02,580,1.02,1.19,580,3.94,3.51,580,inf,
2024-06,June,580,1.75,2.18,580,0.72,1.0,580,2.96,3.1,580,inf,
2024-07,July,725,1.75,2.13,725,0.79,1.05,725,3.1,3.11,725,inf,
2024-08,August,580,1.81,2.19,580,0.88,1.06,580,3.54,3.26,580,inf,
2024-09,September,725,1.78,2.15,725,0.73,0.97,725,2.89,3.01,725,inf,
2024-10,October,580,1.91,2.27,580,0.76,1.02,580,2.91,2.9,580,inf,
2024-11,November,580,1.84,2.21,580,0.96,1.11,580,3.89,3.38,580,inf,
2024-12,December,580,1.71,2.05,580,0.94,1.11,580,3.77,3.39,580,inf,
