Month_Name,Month_Period,Awareness_Conversions,Consideration_Conversions,Conversion_Conversions,Awareness_ROAS,Consideration_ROAS,Conversion_ROAS,Awareness_Revenue,Consideration_Revenue,Conversion_Revenue,Awareness_Spend,Consideration_Spend,Conversion_Spend
April,2024-04,17682,15067,15299,2.59,2.61,2.55,3233288.27,3041581.46,2785930.27,1247222.63,1163324.87,1091743.58
August,2024-08,13442,12760,12238,2.33,2.87,2.9,2378850.25,2667230.0,2242119.75,1019397.28,928354.74,772142.58
December,2024-12,18124,14881,16785,3.22,2.98,3.49,3034024.27,2988291.31,2902684.42,941604.43,1004049.5,830967.25
February,2024-02,13867,14288,15821,2.39,3.36,3.44,2539721.85,3283136.47,2805841.68,1061485.29,978440.3,815135.79
January,2024-01,21198,21795,19502,2.69,3.35,3.75,3549193.13,4384828.47,3440278.4,1320758.93,1307601.37,918526.11
July,2024-07,15941,13278,14763,2.22,2.29,2.54,2740803.85,2717198.87,2603897.28,1234620.3,1188637.5,1023674.66
June,2024-06,10533,10196,10768,2.15,2.42,2.66,2104018.48,2164270.62,2088110.9,978980.9,895409.11,783871.14
March,2024-03,10779,9943,9505,2.27,2.52,2.04,2160592.67,2343863.84,1681543.49,953645.21,930557.61,823801.28
May,2024-05,18218,17031,17394,3.17,3.64,3.43,3396296.92,3281233.31,2919869.77,1069943.38,901314.08,852425.25
November,2024-11,15733,15891,15920,3.13,3.14,3.31,2896870.56,3004521.03,2738108.41,925851.29,955811.94,827583.21
October,2024-10,10940,11787,10691,1.9,2.62,2.36,1919921.99,2578237.68,1856940.33,1011634.73,984034.98,786319.94
September,2024-09,13527,13862,13303,2.13,2.51,2.05,2588277.68,3061128.07,2225994.25,1217310.07,1217661.49,1083764.12
