Month_Name,Month_Period,Facebook_Conversions,Google_Conversions,Hulu_Conversions,Instagram_Conversions,Linear_Conversions,Radio_Conversions,Roku_Conversions,Trade Desk_Conversions,Traditional Media_Conversions,YouTube_Conversions,Facebook_ROAS,Google_ROAS,Hulu_ROAS,Instagram_ROAS,Linear_ROAS,Radio_ROAS,Roku_ROAS,Trade Desk_ROAS,Traditional Media_ROAS,YouTube_ROAS,Facebook_Revenue,Google_Revenue,Hulu_Revenue,Instagram_Revenue,Linear_Revenue,Radio_Revenue,Roku_Revenue,Trade Desk_Revenue,Traditional Media_Revenue,YouTube_Revenue,Facebook_Spend,Google_Spend,Hulu_Spend,Instagram_Spend,Linear_Spend,Radio_Spend,Roku_Spend,Trade Desk_Spend,Traditional Media_Spend,YouTube_Spend
April,2024-04,7478,10078,0,6814,0,0,0,9985,0,6841,2.61,3.78,1.95,2.18,2.61,2.3,2.49,2.72,2.11,2.42,1244105.67,2031057.06,419924.31,1004069.3,89120.76,192260.2,347192.21,1373600.93,523987.18,933528.01,476937.8,536726.93,215764.27,460413.04,34124.52,83530.64,139198.26,504379.02,248450.11,386409.12
August,2024-08,5919,7939,0,5503,0,0,0,7387,0,5573,3.28,3.33,1.96,2.66,2.44,2.83,2.74,2.14,2.05,2.57,1125121.19,1587516.97,342595.53,773279.99,83256.53,168083.14,326397.13,902998.9,415082.8,724130.99,342778.11,476476.12,174423.73,290730.35,34147.57,59350.87,119129.26,421021.67,202088.94,282026.33
December,2024-12,7504,10450,0,7578,0,0,0,9665,0,7457,2.69,4.49,2.34,3.23,2.99,2.93,3.34,3.2,3.27,2.87,1208516.38,1971408.5,411553.91,1138256.76,103713.58,174031.3,363022.51,1187620.0,596423.17,860919.97,448524.63,438603.47,175549.23,352528.28,34738.67,59497.47,108627.47,371202.93,182556.87,299844.34
February,2024-02,6448,10595,0,6075,0,0,0,9283,0,6052,2.6,4.06,2.49,2.37,2.55,3.0,2.41,3.1,3.67,3.07,1070033.56,1846120.23,502428.87,822118.91,94312.38,186784.57,340492.93,1253633.5,713204.56,937247.34,412269.24,454315.91,201906.01,346701.45,36984.15,62247.97,141185.87,404736.25,194527.9,305101.7
January,2024-01,8310,13930,0,9111,0,0,0,12591,0,8303,2.56,5.2,3.04,2.57,3.53,2.66,3.17,2.59,3.68,2.56,1317830.17,2989199.37,641944.81,1160764.57,120620.37,221510.27,476601.0,1367755.51,820087.24,1027147.62,514351.32,574868.68,210857.08,451804.32,34161.68,83272.97,150542.65,528386.72,222844.66,400595.73
July,2024-07,6281,8115,0,6389,0,0,0,9728,0,5742,2.44,2.51,1.99,2.26,1.9,2.52,2.25,2.25,2.15,2.35,1156574.77,1417962.32,392573.8,966118.88,77736.66,162010.62,365292.36,1246928.44,492398.63,804309.31,474352.7,565028.96,196852.23,426760.41,40906.3,64211.05,162043.74,553166.61,228681.23,342633.43
June,2024-06,4479,8005,0,4614,0,0,0,5293,0,4587,2.34,3.47,1.45,2.19,2.23,2.18,2.25,1.95,2.62,1.85,881546.66,1595841.5,254949.0,763226.19,75692.86,145711.15,242909.1,735389.82,400018.12,581479.43,376720.57,460150.69,176252.09,349201.24,33909.73,66819.87,107968.12,376855.84,152552.8,314800.75
March,2024-03,3905,5462,0,4510,0,0,0,6285,0,4902,1.8,2.53,2.41,1.95,1.85,2.42,2.7,2.34,2.18,2.18,782338.8,967385.68,365928.22,673867.65,54823.28,164818.06,312557.57,897167.2,457377.65,660296.76,434741.25,383082.76,151804.49,345465.2,29627.7,68167.44,115805.82,383704.19,209801.35,303342.94
May,2024-05,6973,11233,0,6863,0,0,0,10760,0,8784,3.05,4.14,3.84,2.97,4.32,3.14,2.68,3.33,2.65,3.71,1270745.69,1902184.9,619372.54,935295.7,151058.15,205871.27,396288.62,1329091.48,534393.11,1088031.56,417132.2,459791.51,161317.13,314402.93,34971.5,65550.46,147793.85,398806.84,201879.89,292961.37
November,2024-11,7039,8522,0,7106,0,0,0,9468,0,7554,2.86,3.81,2.84,3.59,2.42,2.74,3.42,2.69,3.37,3.18,1170667.39,1604512.13,408965.62,1115458.93,58064.66,169035.37,410952.34,1097750.52,706983.06,970763.65,409722.25,420798.5,143874.16,310916.48,24028.16,61773.05,120257.93,408098.64,209494.74,305437.91
October,2024-10,4820,6422,0,4428,0,0,0,6457,0,5773,1.91,3.53,2.01,1.99,2.21,2.22,1.76,1.93,2.69,2.09,815107.5,1340550.39,293237.12,713389.03,66615.6,134436.4,228448.87,830233.04,498449.65,717903.4,425788.45,379672.31,146031.36,357695.49,30147.76,60670.96,129952.44,429185.94,185572.7,343564.47
September,2024-09,6238,8577,0,5726,0,0,0,8010,0,5631,2.15,3.26,2.25,1.89,2.58,1.68,2.48,1.95,2.34,1.57,1044850.54,1848007.91,409119.64,853781.36,114676.5,125848.9,372279.4,1052888.43,568550.04,641735.4,486162.82,566370.98,182166.07,452897.1,44458.17,74856.79,150374.42,540434.79,243240.68,409326.09
